Assignment,AttackType,MaliciousPct,Model,Seed,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,RUST,9,96.25126646,3.748733536,195.4468387,100,1.3,13,98.7,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.748733536,0,96.25126646,0,100,0,NaN,NaN,NaN,NaN,100,94.73150963,5.268490375,1.3,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,10,96.85598377,3.144016227,195.9457638,100,1.4,14,98.6,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.144016227,0,96.85598377,0,100,0,NaN,NaN,NaN,NaN,100,94.82758621,5.172413793,1.4,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,1,96.8875502,3.112449799,197.4033986,100,0.4,4,99.6,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.112449799,0,96.8875502,0,100,0,NaN,NaN,NaN,NaN,100,97.59036145,2.409638554,0.4,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,2,95.9798995,4.020100503,195.1737846,100,0.5,5,99.5,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,4.020100503,0,95.9798995,0,100,0,NaN,NaN,NaN,NaN,100,97.08542714,2.914572864,0.5,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,3,97.09127382,2.908726179,198.2159444,100,0.3,3,99.7,97.14285714,97.14285714,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,0,0,0,0,2.908726179,0,97.09127382,0,100,0,NaN,NaN,NaN,NaN,100,97.99398195,2.006018054,0.3,0,100,NaN,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,4,96.87814703,3.121852971,192.5755722,100,0.7,7,99.3,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.121852971,0,96.87814703,0,100,0,NaN,NaN,NaN,NaN,100,97.68378651,2.316213494,0.7,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,5,96.25884732,3.741152679,195.2839237,100,1.1,11,98.9,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.741152679,0,96.25884732,0,100,0,NaN,NaN,NaN,NaN,100,97.6744186,2.325581395,1.1,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,6,97.68145161,2.318548387,195.1240717,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.318548387,0,97.68145161,0,100,0,NaN,NaN,NaN,NaN,100,98.48790323,1.512096774,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,7,96.86234818,3.137651822,197.3420031,100,1.2,12,98.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.137651822,0,96.86234818,0,100,0,NaN,NaN,NaN,NaN,100,98.17813765,1.821862348,1.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,8,98.08467742,1.915322581,200.5927554,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,1.915322581,0,98.08467742,0,100,0,NaN,NaN,NaN,NaN,100,97.78225806,2.217741935,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
