Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,firsthalf,10,3VSL-Binary,96.8979369248886,3.1020630751114,197.110748926751,99.8,2.31,23.1,97.69,100,100,0,0,100,100,0,90,0,0,100,7,0,34,3.00586186869247,46,96.9941381313075,3.10956859232721,99.8938378908407,5.64303663924157,NaN,0.206631912683986,0.142315988685036,NaN,100,95.8044500145259,4.19554998547408,2.31,3.10956859232721,96.8904314076728,100,0,0,100,100,0,90,0,94.26,99.8,95.06,99.8,-0.799999999999997,1.4210854715202e-15,1,1,0.666666666666667,99.7,99.7,0,NaN,11.8
moderate,firsthalf,10,Beta (BRS),96.8874821635762,3.11251783642379,197.150324381672,99.72,2.31,23.1,97.69,100,100,0,0,100,100,0,90,0,0,100,7,0,21.2380952380952,3.00848272797243,58.7619047619048,96.9915172720276,3.32072829131653,99.8197903371275,5.6932838994208,NaN,0.300835793329224,0.185787538968814,NaN,99.4,96.2232119649833,3.77678803501671,2.31,3.32072829131653,96.6792717086835,100,0,0,100,100,0,90,0,94.26,99.66,95.04,99.78,-0.779999999999997,-0.120000000000002,1.7,1.1,0.529166666666667,99.7,99.8,0.1,NaN,12.3694444444444
moderate,firsthalf,10,ScalarRep-CumReward,96.8876276465381,3.11237235346192,197.132623475958,99.71,2.31,23.1,97.69,100,100,0,0,100,100,0,90,0,0,100,7,0,20.8333333333333,3.00868253785518,59.1666666666667,96.9913174621448,3.38586092744308,99.8093068057628,5.81723871537358,NaN,14.6154876098483,5.71431316333741,NaN,99.4,91.709019253639,8.29098074636099,2.31,3.38586092744308,96.6141390725569,100,0,0,100,100,0,90,0,94.26,99.64,95.04,99.78,-0.779999999999997,-0.139999999999999,1.8,1.1,0.5,99.6,99.8,0.2,NaN,11.9666666666667
moderate,firsthalf,10,ScalarRep-EMA,96.4159811210668,3.58401887893315,197.896871761299,97.11,2.31,23.1,97.69,100,100,0,0,100,100,0,90,0,0,100,7,0,22.8461548902758,3.00625279942462,77.1538451097242,96.9937472005754,18.0493609780666,97.6163386250635,19.4442436807642,NaN,-0.0432709257835007,0.0297734820448584,NaN,96.8,0.11296276697087,99.8870372330291,2.31,18.0493609780666,81.9506390219334,100,0,0,100,100,0,90,0,94.26,95.36,94.12,98.86,0.140000000000005,-3.50000000000001,23.2,5.7,0.266074649987693,96.9,99.7,2.8,NaN,9.76791083312822
moderate,firsthalf,10,Threshold-MaxRep,96.8858984837818,3.11410151621821,197.007306515653,99.79,3.01,30.1,96.99,98.1428571428571,99.2063492063492,11.4285714285714,0.793650793650794,88.5714285714286,99.2063492063492,41.6666666666667,90.9864488300187,17.6111111111111,11.4285714285714,100,7,0.8,30.6666666666667,3.01725174483707,49.3333333333333,96.9827482551629,3.1379776832363,99.8825394395182,5.64775910364146,1.3,0.258487054531707,0.148775097028147,NaN,100,92.9595426671343,7.04045733286568,3.01,3.1379776832363,96.8620223167637,88.5714285714286,11.4285714285714,0.793650793650794,88.5714285714286,99.2063492063492,41.6666666666667,90.9864488300187,17.6111111111111,93.9,99.78,94.04,99.8,-0.140000000000001,-0.0199999999999989,1.1,1,0.857142857142857,99.7,99.7,0,251.3,30.8761904761905
moderate,firsthalf,10,Threshold-NoTierSel,96.8033075652272,3.19669243477283,197.107492672193,99.35,3.65,36.5,96.35,97.2857142857143,99.2063492063492,20,0.793650793650794,80,99.2063492063492,74.6666666666667,91.7994392585567,29.5555555555556,20,100,7,1.4,29.0753968253968,2.99846746447617,70.9246031746032,97.0015325355238,6.7521512776412,99.5272175729217,10.8804899636093,1.58333333333333,0.231997035671996,0.167223695788458,NaN,99,83.8569598721047,16.1430401278953,3.65,6.7521512776412,93.2478487223588,80,20,0.793650793650794,80,99.2063492063492,74.6666666666667,91.7994392585567,29.5555555555556,93.26,99.12,93.28,99.58,-0.019999999999996,-0.459999999999997,4.4,2.1,0.531785714285714,99.4,99.5,0.1,235.111111111111,30.9630952380952
moderate,firsthalf,30,3VSL-Binary,95.2406494511981,4.75935054880194,200.36534602444,95.69,5.59,55.9,94.41,100,100,0,0,100,100,0,70,0,0,100,21,0,41.9915166584793,2.99511369558328,58.0084833415207,97.0048863044167,38.7392498342622,97.188222997171,39.6525895930518,NaN,0.170248434583733,0.170982124451512,NaN,94.7,90.418237052829,9.581762947171,5.59,38.7392498342622,61.2607501657378,100,0,0,100,100,0,70,0,92.14,94.9,87.7,96.48,4.44,-1.58,25.5,17.6,0.741698161000793,95.3,96.5,1.2,NaN,16.6283026833465
moderate,firsthalf,30,Beta (BRS),95.3376194736587,4.66238052634127,200.2391398655,95.33,5.59,55.9,94.41,100,100,0,0,100,100,0,70,0,0,100,21,0,37.0449404779015,2.97396749941002,62.9550595220985,97.02603250059,38.3170458401524,96.7219827893645,37.1666479770614,NaN,0.229056567134956,0.19080079094197,NaN,91,95.6027305450149,4.39726945498514,5.59,38.3170458401524,61.6829541598476,100,0,0,100,100,0,70,0,92.14,93.98,87.88,96.68,4.26,-2.7,30.1,16.6,0.567103664243908,95.8,96.6,0.8,NaN,13.4517277373985
moderate,firsthalf,30,ScalarRep-CumReward,95.1898182597729,4.8101817402271,200.616847488969,95.23,5.59,55.9,94.41,100,100,0,0,100,100,0,70,0,0,100,21,0,38.716999967,2.9887259144259,61.283000033,97.0112740855741,39.2163592910876,96.7460178449563,38.2684690359422,NaN,11.5225008795142,6.40881930940901,NaN,90.7,90.3888763007928,9.61112369920719,5.59,39.2163592910876,60.7836407089124,100,0,0,100,100,0,70,0,92.14,94.06,87.6,96.4,4.54,-2.34,29.7,18,0.619700292397661,96.1,96.2,0.1,NaN,13.861671539961
moderate,firsthalf,30,ScalarRep-EMA,94.5315241500758,5.46847584992424,201.697975442098,85.38,5.59,55.9,94.41,100,100,0,0,100,100,0,70,0,0,100,21,0,18.2846873395591,3.08302798831798,81.7153126604408,96.916972011682,51.7519128981959,86.6211400310774,26.985978818372,NaN,-0.0139981340058,0.0550525046200244,NaN,78.3,0.147922941441642,99.8520770585584,5.59,51.7519128981959,48.2480871018041,100,0,0,100,100,0,70,0,92.14,75.7,86.36,95.06,5.78000000000001,-19.36,121.5,24.7,0.200165567850368,89.9,96.3,6.4,NaN,11.0694261308395
moderate,firsthalf,30,Threshold-MaxRep,95.8899051254172,4.11009487458284,198.835976055384,96.71,9.51,95.1,90.49,94.1428571428572,99.7959183673469,19.047619047619,0.204081632653061,80.9523809523809,99.7959183673469,97.5,74.2574877231527,31.0707767328457,19.047619047619,100,21,4,32.5203169320736,3.03560250159976,67.4796830679264,96.9643974984002,28.0627542776566,97.4276789293762,29.5492004419707,1.9,0.189532435018435,0.156245044335402,NaN,94.1,83.8217506161242,16.1782493838758,9.51,28.0627542776566,71.9372457223434,80.9523809523809,19.047619047619,0.204081632653061,80.9523809523809,99.7959183673469,97.5,74.2574877231527,31.0707767328457,89.8,95.46,83.74,97.96,6.06000000000001,-2.5,22.7,10.2,0.475836329955323,97.1,98.7,1.6,216.879166666667,34.7789388325887
moderate,firsthalf,30,Threshold-NoTierSel,95.6976494068926,4.30235059310741,198.968755525355,95.56,10.93,109.3,89.07,97.4285714285714,99.5918367346939,7.61904761904762,0.408163265306122,92.3809523809524,99.5918367346939,71.6666666666667,71.568964639717,13.6627140974967,7.61904761904762,100,21,1.6,26.5216599501373,3.09372993228679,73.4783400498627,96.9062700677132,30.4977601835565,96.1928451610322,27.9601055410883,7.14583333333333,0.16369327848546,0.156140976040617,NaN,90.2,77.8293356173742,22.1706643826258,10.93,30.4977601835565,69.5022398164435,92.3809523809524,7.61904761904762,0.408163265306122,92.3809523809524,99.5918367346939,71.6666666666667,71.568964639717,13.6627140974967,88.04,93.44,82.44,97.68,5.6,-4.24,32.8,11.6,0.35266955329486,96.7,98.7,2,210.0625,27.031159221581
moderate,firsthalf,50,3VSL-Binary,84.7869084140051,15.2130915859949,218.030647701359,74.59,8.12,81.2,91.88,100,100,0,0,100,100,0,50,0,0,100,35,0,46.386862558966,3.29658865437702,53.613137441034,96.703411345623,84.078969530543,82.4566394095555,59.7549078261122,NaN,0.163271586842269,0.180678234463949,NaN,72.9,73.094126993365,26.905873006635,8.12,84.078969530543,15.921030469457,100,0,0,100,100,0,50,0,88.5,71.68,67.3,77.5,21.2,-5.82,141.6,112.5,0.796611654186965,73.3,78.5,5.2,NaN,20.7835275697827
moderate,firsthalf,50,Beta (BRS),82.6700310932827,17.3299689067173,222.136304177479,62.88,8.12,81.2,91.88,100,100,0,0,100,100,0,50,0,0,100,35,0,38.0653981568551,3.34282214806268,61.9346018431449,96.6571778519373,88.1528402153566,69.5305341595987,53.0838506442165,NaN,0.0971291664786064,0.193765298881469,NaN,53.9,94.2010349587913,5.79896504120868,8.12,88.1528402153566,11.8471597846434,100,0,0,100,100,0,50,0,88.5,52.22,63.42,73.54,25.08,-21.32,238.9,132.3,0.559771913486971,61.2,78,16.8,NaN,31.0895318914495
